Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Big Mummy,NFAPPL-02-IPHONE14=2-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,Apple iPhone 13 Pro,2021-10-16T06:15:40.450Z,2022-01-02T08:12:40.586Z,2021-10-22T18:06:38.333Z,2021-12-20T18:08:06.802Z,2021-10-16T06:15:40.450Z,2021-10-16T06:16:12.117Z,,,
Amy,NFAPPL-02-IPHONE14=2-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,Apple iPhone 13 Pro,2021-10-16T06:15:40.450Z,2022-01-02T08:12:40.586Z,2021-10-22T18:06:38.333Z,2021-12-20T18:08:06.802Z,,,,,
Raj,NFAPPL-02-IPHONE14=2-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,Apple iPhone 13 Pro,2021-10-16T06:15:40.450Z,2022-01-02T08:12:40.586Z,2021-10-22T18:06:38.333Z,2021-12-20T18:08:06.802Z,,,,,
Jania,NFAPPL-02-IPHONE14=2-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,Apple iPhone 13 Pro,2021-10-16T06:15:40.450Z,2022-01-02T08:12:40.586Z,2021-10-22T18:06:38.333Z,2021-12-20T18:08:06.802Z,,,,,
Amy,WWW-BROWSE-H7NVCR7005P2ML250RYX84G39RNKEM,Netflix WWW-BROWSER UNSUPPORTED BROWSER,,,,,,,,,
Jania,NFANDROID1-PRV-T-L3-AMAZOKFMUWI-4445-0B851328C6C89DE417134380DD647EB1E831DEA0316A069384F4F8FD557DCDA2A,Android DefaultWidevineL3Tablet Android Tablet,2021-10-05T12:58:36.122Z,2021-10-06T05:28:15.887Z,2021-10-05T12:58:36.122Z,2021-10-06T05:28:15.887Z,2021-10-05T12:58:36.122Z,2021-10-06T05:28:15.887Z,2021-10-05T12:58:36.122Z,2021-10-06T05:28:15.887Z,
Amy,NFANDROID1-PRV-T-L3-AMAZOKFMUWI-4445-0B851328C6C89DE417134380DD647EB1E831DEA0316A069384F4F8FD557DCDA2A,Android DefaultWidevineL3Tablet Android Tablet,2021-10-05T12:58:36.122Z,2021-10-06T05:28:15.887Z,2021-10-05T12:58:36.122Z,2021-10-06T05:28:15.887Z,,,,,
Amy,NFCDCH-02-HNNV3A46ATHFVT4MEGWEUD35LJUXJM,Chrome PC (Cadmium),,,,,,,,,
Jania,NFAPPL-02-IPHONE12=1-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,Apple iPhone 11,2021-09-26T17:10:31.227Z,2021-10-02T09:32:10.804Z,2021-10-02T09:32:10.804Z,2021-10-02T09:32:10.804Z,,,,,
Daddy,NFAPPL-02-IPHONE12=1-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,Apple iPhone 11,2021-09-26T17:10:31.227Z,2021-10-02T09:32:10.804Z,2021-10-02T09:32:10.804Z,2021-10-02T09:32:10.804Z,2021-09-26T17:10:31.227Z,2021-10-02T09:32:10.804Z,2021-10-02T09:32:10.804Z,2021-10-02T09:32:10.804Z,
