Profile Name,Sent Utc Ts,Message Name,Channel,Country Iso Code,Account Locale,Email Locale,Title Name,Email Domain Name,Link Url,Click Utc Ts,Device Model,Click Cnt
Raj,2018-12-27 07:34:09,PUSH_WHAT_TO_WATCH_TOP_PICKS,PUSH,IN,en-GB,en-GB,The Haunting of Hill House,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-12-25 07:02:13,INAPP_WHAT_TO_WATCH_SUGGESTIONS,NOTIFICATIONS,IN,,,The Protector,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-12-25 07:02:13,PUSH_WHAT_TO_WATCH_SUGGESTIONS,PUSH,IN,en-GB,en-GB,The Protector,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-12-23 07:10:04,PUSH_WHAT_TO_WATCH_MOVIE_NIGHT,PUSH,IN,en-GB,en-GB,Andhadhun,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-12-23 07:10:03,INAPP_WHAT_TO_WATCH_MOVIE_NIGHT,NOTIFICATIONS,IN,,,Andhadhun,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-12-20 07:36:15,PUSH_WHAT_TO_WATCH_MOVIE_NIGHT,PUSH,IN,en-GB,en-GB,The Ballad of Buster Scruggs,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-12-20 07:36:14,INAPP_WHAT_TO_WATCH_MOVIE_NIGHT,NOTIFICATIONS,IN,,,The Ballad of Buster Scruggs,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-12-18 07:24:13,PUSH_WHAT_TO_WATCH_TOP_PICKS,PUSH,IN,en-GB,en-GB,Lost,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-12-18 07:24:09,INAPP_WHAT_TO_WATCH,NOTIFICATIONS,IN,,,Lost,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-12-16 07:15:14,PUSH_WHAT_TO_WATCH_SUGGESTIONS,PUSH,IN,en-GB,en-GB,Final Space,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-12-16 07:15:10,INAPP_WHAT_TO_WATCH_SUGGESTIONS,NOTIFICATIONS,IN,,,Final Space,SURESHTKUMAR.COM,,,,0
Raj,2018-12-13 08:03:48,PUSH_AFTERGLOW,PUSH,IN,en-GB,en-GB,F is for Family,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
