Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Big Mummy,android,playback,,,2021-12-30 18:20:13
Big Mummy,android,movieDetails,,,2021-12-30 18:20:11
Big Mummy,android,playback,,,2021-12-30 18:20:11
Big Mummy,android,browseTitles,,,2021-12-30 18:19:52
Big Mummy,android,movieDetails,,,2021-12-30 18:19:52
Big Mummy,android,profilesGate,,,2021-12-30 18:19:38
Big Mummy,android,browseTitles,,,2021-12-30 18:19:38
Big Mummy,tvui,movieDetails,,,2021-12-30 16:04:04
Big Mummy,tvui,profilesGate,,,2021-12-30 16:04:04
Big Mummy,tvui,movieDetails,,,2021-12-30 15:34:04
Big Mummy,tvui,playback,,,2021-12-30 15:34:04
Big Mummy,tvui,movieDetails,,,2021-12-30 15:33:10
Big Mummy,tvui,playback,,,2021-12-30 15:33:10
Big Mummy,tvui,browseTitles,,,2021-12-30 15:33:00
Big Mummy,tvui,movieDetails,,,2021-12-30 15:33:00
Big Mummy,tvui,screenSaver,,,2021-12-30 15:31:10
Big Mummy,tvui,browseTitles,,,2021-12-30 15:31:10
Big Mummy,tvui,browseTitles,,,2021-12-30 15:30:58
Big Mummy,tvui,screenSaver,,,2021-12-30 15:30:58
Big Mummy,tvui,screenSaver,,,2021-12-30 15:11:05
Big Mummy,tvui,browseTitles,,,2021-12-30 15:11:05
Big Mummy,tvui,screenSaver,,,2021-12-30 15:11:03
Big Mummy,tvui,browseTitles,,,2021-12-30 15:11:03
Big Mummy,tvui,screenSaver,,,2021-12-30 15:11:02
Big Mummy,tvui,browseTitles,,,2021-12-30 15:11:02
Big Mummy,tvui,browseTitles,,,2021-12-30 15:05:58
Big Mummy,tvui,screenSaver,,,2021-12-30 15:05:58
Big Mummy,tvui,profilesGate,,,2021-12-30 14:58:35
Big Mummy,tvui,browseTitles,,,2021-12-30 14:58:35
Big Mummy,tvui,browseTitles,,,2021-12-27 17:32:37
Big Mummy,tvui,profilesGate,,,2021-12-27 17:32:35
Big Mummy,tvui,movieDetails,,,2021-12-27 16:58:01
Big Mummy,tvui,browseTitles,,,2021-12-27 16:58:01
Big Mummy,tvui,movieDetails,,,2021-12-27 16:57:42
Big Mummy,tvui,postPlay,,,2021-12-27 16:57:42
Big Mummy,tvui,playback,,,2021-12-27 16:57:05
Big Mummy,tvui,postPlay,,,2021-12-27 16:57:05
Big Mummy,tvui,playback,,,2021-12-27 16:18:38
Big Mummy,tvui,movieDetails,,,2021-12-27 16:18:38
Big Mummy,tvui,browseTitles,,,2021-12-27 16:18:33
Big Mummy,tvui,movieDetails,,,2021-12-27 16:18:33
Big Mummy,tvui,profilesGate,,,2021-12-27 16:18:11
Big Mummy,tvui,browseTitles,,,2021-12-27 16:18:11
Big Mummy,android,playback,,,2021-12-27 11:42:29
Big Mummy,android,browseTitles,,,2021-12-27 11:42:29
